s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
22.08595157,-1.18657100,3.49678600,-2.69648300,1.21277082,1.5728,0.0
22.18585910,-1.27397100,3.44838400,-2.56227200,1.47082804,1.4282,0.0
22.28579988,-1.35335900,3.38767400,-2.45250300,0.72457256,2.0348,0.0
22.38578282,-1.42817600,3.32134900,-2.40424600,0.24088683,3.5290,0.0
22.48578233,-1.50138600,3.25323000,-2.38983100,0.04739823,7.9557,0.0
22.58578004,-1.57427100,3.18476600,-2.36930400,0.36324299,2.8738,0.0
22.68576693,-1.64461400,3.11370800,-2.32826100,0.45757844,2.5605,0.0
22.78576423,-1.71164000,3.03949900,-2.29700000,0.16759215,4.2309,0.0
22.88576310,-1.77741400,2.96417600,-2.28544100,0.06358490,6.8688,0.0
22.98576237,-1.84270800,2.88843600,-2.29937600,0.34233938,2.9603,0.0
23.08574685,-1.91054600,2.81498600,-2.33449200,0.35995059,2.8869,0.0
23.18574658,-1.98099400,2.74401400,-2.35431300,0.03648684,8.0000,0.0
23.28574703,-2.05170100,2.67329900,-2.35616700,0.00056568,8.0000,0.0
23.38574607,-2.12241100,2.60258900,-2.35619400,0.00000000,8.0000,0.0
23.48574653,-2.19312200,2.53187800,-2.35619500,0.00000000,8.0000,0.0
23.58574698,-2.26383300,2.46116700,-2.35619400,0.00007071,8.0000,0.0
23.68574673,-2.33454300,2.39045600,-2.35618500,0.00000000,8.0000,0.0
23.78574648,-2.40525300,2.31974500,-2.35539300,0.01583925,8.0000,0.0
23.88574635,-2.47585100,2.24892200,-2.34699200,0.15225242,4.4389,0.0
23.98574398,-2.54536100,2.17703400,-2.33966500,0.00572147,8.0000,0.0
24.08573712,-2.61490900,2.10518900,-2.36395400,0.48010115,2.4997,0.0
24.18572367,-2.68782000,2.03676900,-2.41509600,0.54276499,2.3510,0.0
24.28570720,-2.76433300,1.97240700,-2.46736400,0.50253132,2.4433,0.0
24.38569657,-2.84398700,1.91196600,-2.51520600,0.45445972,2.5693,0.0
24.48567690,-2.92629700,1.85521100,-2.56178400,0.47710522,2.5076,0.0
24.58567247,-3.01123300,1.80243800,-2.55575500,0.59783147,2.2401,0.0
24.68564320,-3.09284400,1.74469900,-2.50106900,0.49570175,2.4601,0.0
24.78564196,-3.17151600,1.68297000,-2.48616800,0.19762720,3.8962,0.0
24.88563017,-3.25138400,1.62281400,-2.54946000,1.06875598,1.6754,0.0
24.98552894,-3.33713600,1.57156600,-2.67920100,1.52594542,1.4021,0.0
25.08541286,-3.42966700,1.53395200,-2.80394200,0.96863823,1.7599,0.0
25.18540596,-3.52550600,1.50543000,-2.84945800,0.05756944,7.2188,0.0
25.28540509,-3.62118500,1.47635500,-2.85534400,0.17527974,4.1371,0.0
25.38539084,-3.71734600,1.44896500,-2.91441600,1.00665528,1.7263,0.0
25.48530686,-3.81570400,1.43138900,-3.01708400,1.04616621,1.6934,0.0
25.58528347,-3.91542000,1.42417500,-3.05977900,0.19193504,3.9535,0.0
25.68524981,-4.01496900,1.41505000,-3.00682100,0.86720767,1.8599,0.0
25.78522680,-4.11336400,1.39733500,-2.97411500,0.21309767,3.7521,0.0
25.88518451,-4.21209500,1.38172300,-3.03417600,0.98822523,1.7423,0.0
25.98514064,-4.31188300,1.37592800,-3.10822300,0.49274184,2.4675,0.0
26.08513746,-4.41187600,1.37505400,-3.13695600,0.08210496,6.0447,0.0
26.18513747,-4.51187600,1.37500100,-3.14132100,0.00520000,8.0000,0.0
26.28513747,-4.61187600,1.37500000,3.14150000,0.00200000,8.0000,0.0
26.38513747,-4.71187600,1.37501900,3.13929700,0.04210013,8.0000,0.0
26.48513744,-4.81187500,1.37545900,3.12015400,0.34090033,2.9665,0.0
26.58511548,-4.91177900,1.37930600,3.05596000,0.94316157,1.7835,0.0
26.68504936,-5.01083300,1.39253800,2.98024100,0.57102742,2.2921,0.0
26.78504474,-5.10903100,1.41141200,2.97329100,0.43179905,2.6358,0.0
26.88502881,-5.20794100,1.42602800,2.99047300,0.08820169,5.8321,0.0
26.98500858,-5.30671400,1.44151500,2.96766000,0.36816210,2.8546,0.0
27.08500457,-5.40486600,1.46063000,2.97078200,0.43062194,2.6394,0.0
27.18498653,-5.50373600,1.47550000,2.98864500,0.07331685,6.3967,0.0
27.28496005,-5.60248600,1.49109300,2.95319400,0.63574466,2.1723,0.0
27.38494699,-5.70005900,1.51293100,2.91293600,0.16954994,4.2064,0.0
27.48494654,-5.79726000,1.53642300,2.91230900,0.15715021,4.3692,0.0
27.58493363,-5.89480600,1.55838200,2.95171100,0.63092719,2.1806,0.0
27.68490715,-5.99352900,1.57414500,2.98853400,0.10542191,5.3345,0.0
27.78489010,-6.09242200,1.58886800,2.97152600,0.44549892,2.5950,0.0
27.88488610,-6.19057400,1.60798300,2.96690500,0.35318154,2.9145,0.0
27.98486617,-6.28932400,1.62361800,2.99014900,0.11168686,5.1827,0.0
28.08485087,-6.38824700,1.63815000,2.96865900,0.54144546,2.3539,0.0
28.18484416,-6.48624700,1.65801600,2.93942800,0.04320720,8.0000,0.0
28.28484127,-6.58416400,1.67830600,2.90389700,0.66797107,2.1192,0.0
28.38475348,-6.68042700,1.70506200,2.83464700,0.71670771,2.0459,0.0
28.48474905,-6.77460600,1.73866900,2.81973200,0.41795367,2.6791,0.0
28.58473942,-6.87010200,1.76831000,2.84513100,0.08999451,5.7737,0.0
28.68473516,-6.96586600,1.79709200,2.84774000,0.03783774,8.0000,0.0
28.78473046,-7.06152000,1.82623600,2.85168600,0.11684399,5.0671,0.0
28.88472786,-7.15751000,1.85426100,2.84592300,0.23210709,3.5951,0.0
28.98472450,-7.25282300,1.88450600,2.82805900,0.12530052,4.8931,0.0
29.08472477,-7.34775300,1.91594400,2.81986700,0.03848484,8.0000,0.0
29.18472471,-7.44256100,1.94774700,2.81113300,0.13612001,4.6946,0.0
29.28472005,-7.53692300,1.98083600,2.78694900,0.34758756,2.9378,0.0
29.38471205,-7.63007500,2.01718300,2.75698400,0.25180245,3.4517,0.0
29.48471234,-7.72229000,2.05586700,2.75376100,0.18740838,4.0010,0.0
29.58469575,-7.81519800,2.09281000,2.82309400,1.20060477,1.5807,0.0
29.68452615,-7.91171300,2.11832400,2.93692800,1.07508105,1.6705,0.0
29.78451658,-8.01056600,2.13336300,2.97180100,0.37633421,2.8234,0.0
29.88449967,-8.10877600,2.15210900,2.94905100,0.07862707,6.1770,0.0
29.98449540,-8.20684800,2.17162900,2.94843500,0.06625335,6.7291,0.0
30.08449199,-8.30504800,2.19049900,2.94129900,0.20905071,3.7882,0.0
30.18449052,-8.40283400,2.21141800,2.93491800,0.08153135,6.0659,0.0
30.28448874,-8.50078700,2.23153900,2.91948100,0.39025009,2.7726,0.0
30.38447729,-8.59787100,2.25546400,2.94425300,0.88670843,1.8394,0.0
30.48432861,-8.69655600,2.27068100,3.06191500,1.46617989,1.4304,0.0
30.58424266,-8.79646800,2.27132200,-3.08863200,1.18779178,1.5892,0.0
30.68415738,-8.89575300,2.26012200,-2.99258400,0.73342554,2.0225,0.0
30.78415075,-8.99402800,2.24166400,-2.98509500,0.58347348,2.2675,0.0
30.88407965,-9.09314800,2.22897500,-3.05867100,0.88787869,1.8382,0.0
30.98406292,-9.19305700,2.22512200,-3.10634300,0.06597095,6.7435,0.0
31.08404895,-9.29299200,2.22192800,-3.06955600,0.80217391,1.9339,0.0
31.18397777,-9.39229300,2.21074400,-2.99260300,0.73655406,2.0182,0.0
31.28397176,-9.49056600,2.19227200,-2.98287300,0.54195196,2.3528,0.0
31.38390608,-9.58963600,2.17915700,-3.05240000,0.84830713,1.8805,0.0
31.48389452,-9.68951500,2.17448000,-3.08613400,0.17340281,4.1594,0.0
31.58385600,-9.78927100,2.16807400,-3.02626800,1.02410452,1.7115,0.0
31.68379358,-9.88782600,2.15150800,-2.94270100,0.64715615,2.1531,0.0
31.78379221,-9.98516300,2.12859000,-2.90811000,0.04492175,8.0000,0.0
31.88379077,-10.08239600,2.10523500,-2.92506300,0.38411821,2.7947,0.0
31.98375764,-10.18042300,2.08563700,-2.99486200,1.01182934,1.7219,0.0
32.08372318,-10.27992700,2.07604200,-3.05512900,0.19344912,3.9380,0.0
32.18368779,-10.37959700,2.06837300,-2.98940700,1.50963024,1.4097,0.0
