x,y,yaw,curvature,speed
-5.207941,1.426028,2.990473,-0.088083,1.000
-5.306714,1.441515,2.967660,-0.368314,1.000
-5.404866,1.460630,2.970782,0.430819,1.000
-5.503736,1.475500,2.988645,-0.073399,1.000
-5.602486,1.491093,2.953194,-0.636250,1.000
-5.700059,1.512931,2.912936,-0.169618,1.000
-5.797260,1.536423,2.912309,0.157061,1.000
-5.894806,1.558382,2.951711,0.631696,1.000
-5.993529,1.574145,2.988534,0.105375,1.000
-6.092422,1.588868,2.971526,-0.445711,1.000
-6.190574,1.607983,2.966905,0.353198,1.000
-6.289324,1.623618,2.990149,0.111807,1.000
-6.388247,1.638150,2.968659,-0.541934,1.000
-6.486247,1.658016,2.939428,-0.043115,1.000
-6.584164,1.678306,2.903897,-0.668725,1.000
-6.680427,1.705062,2.834647,-0.717684,1.000
-6.774606,1.738669,2.819732,0.418160,1.000
-6.870102,1.768310,2.845131,0.090008,1.000
-6.965866,1.797092,2.847740,-0.037832,1.000
-7.061520,1.826236,2.851686,0.116757,1.000
-7.157510,1.854261,2.845923,-0.232043,1.000
-7.252823,1.884506,2.828059,-0.125258,1.000
-7.347753,1.915944,2.819867,-0.038603,1.000
-7.442561,1.947747,2.811133,-0.136090,1.000
-7.536923,1.980836,2.786949,-0.347699,1.000
-7.630075,2.017183,2.756984,-0.251739,1.000
-7.722290,2.055867,2.753761,0.187275,1.000
-7.815198,2.092810,2.823094,1.205054,1.000
-7.911713,2.118324,2.936928,1.078116,1.000
-8.010566,2.133363,2.971801,-0.376403,1.000
-8.108776,2.152109,2.949051,-0.078745,1.000
-8.206848,2.171629,2.948435,0.066404,1.000
-8.305048,2.190499,2.941299,-0.209131,1.000
-8.402834,2.211418,2.934918,0.081483,1.000
-8.500787,2.231539,2.919481,-0.390397,1.000
-8.597871,2.255464,2.944253,0.888471,1.000
-8.696556,2.270681,3.061915,1.474189,1.000
-8.796468,2.271322,-3.088632,1.191840,1.000
-8.895753,2.260122,-2.992584,0.734524,1.000
-8.994028,2.241664,-2.985095,-0.584120,1.000
-9.093148,2.228975,-3.058671,-0.889464,1.000
-9.193057,2.225122,-3.106343,-0.066093,1.000
-9.292992,2.221928,-3.069556,0.803484,1.000
-9.392293,2.210744,-2.992603,0.737636,1.000
-9.490566,2.192272,-2.982873,-0.542367,1.000
-9.589636,2.179157,-3.052400,-0.849913,1.000
-9.689515,2.174480,-3.086134,0.173497,1.000
-9.789271,2.168074,-3.026268,1.026715,1.000
-9.887826,2.151508,-2.942701,0.647855,1.000
-9.985163,2.128590,-2.908110,0.044934,1.000
-10.082396,2.105235,-2.925063,-0.384259,1.000
-10.180423,2.085637,-2.994862,-1.014356,1.000
-10.279927,2.076042,-3.055129,-0.193556,1.000
-10.379597,2.068373,-2.989407,1.518247,1.000
-10.476812,2.045845,-2.858693,1.106629,1.000
-10.571150,2.012689,-2.824584,-0.419576,1.000
-10.666784,1.983520,-2.848746,-0.063845,1.000
-10.762605,1.954962,-2.802565,0.990392,1.000
-10.855068,1.917124,-2.679147,1.489421,1.000
-10.940872,1.866096,-2.487022,2.398139,1.000
-11.012190,1.796542,-2.246111,2.485979,1.000
-11.064649,1.711557,-2.059869,1.284068,1.000
-11.105879,1.620498,-1.954224,0.836186,1.000
-11.139383,1.526295,-1.881314,0.624163,1.000
-11.166952,1.430182,-1.832340,0.356034,1.000
-11.191085,1.333140,-1.796743,0.356213,1.000
-11.211745,1.235320,-1.728072,1.020229,1.000
-11.222356,1.135956,-1.635482,0.835337,1.000
-11.224656,1.035998,-1.575832,0.359581,1.000
-11.223363,0.936013,-1.522748,0.703365,1.000
-11.215059,0.836414,-1.433767,1.080148,1.000
-11.196096,0.738277,-1.357923,0.440118,1.000
-11.172826,0.641024,-1.336856,-0.018379,1.000
-11.149734,0.543728,-1.361740,-0.479703,1.000
-11.131338,0.445471,-1.409024,-0.466460,1.000
-11.117536,0.346432,-1.411830,0.410190,1.000
-11.099688,0.248055,-1.397756,-0.128612,1.000
-11.083111,0.149480,-1.451319,-0.944857,1.000
-11.075886,0.049788,-1.512768,-0.286334,1.000
-11.071516,-0.050107,-1.487010,0.803052,1.000
-11.059170,-0.149258,-1.400825,0.923616,1.000
-11.037739,-0.246913,-1.339427,0.306823,1.000
-11.013319,-0.343882,-1.307859,0.324759,1.000
-10.985765,-0.440002,-1.280939,0.213750,1.000
-10.956161,-0.535520,-1.265868,0.087729,1.000
-10.925727,-0.630754,-1.168981,1.877574,1.000
-10.878583,-0.718085,-0.868630,4.326025,1.000
-10.800240,-0.779084,-0.574610,1.750163,1.000
-10.711932,-0.825990,-0.500025,-0.235232,1.000
-10.624750,-0.874960,-0.502123,0.193296,1.000
-10.536660,-0.922226,-0.421227,1.433955,1.000
-10.442929,-0.956424,-0.250507,2.007498,1.000
-10.344274,-0.971454,-0.091682,1.193810,1.000
-10.244352,-0.974681,-0.017771,0.290420,1.000
-10.144353,-0.975007,-0.004165,-0.018172,1.000
-10.044355,-0.975514,-0.028554,-0.470101,1.000
-9.944548,-0.980714,-0.142116,-1.821036,1.000
-9.847634,-1.003661,-0.353104,-2.448053,1.000
-9.758875,-1.049143,-0.532861,-1.190076,1.000
-9.675904,-1.104942,-0.592921,-0.017778,1.000
-9.593027,-1.160891,-0.570548,0.465591,1.000
-9.507657,-1.212913,-0.513782,0.670724,1.000
-9.418989,-1.259107,-0.484575,-0.085834,1.000
-9.330762,-1.306038,-0.564327,-1.519021,1.000
-9.250682,-1.365644,-0.708651,-1.382033,1.000
-9.179454,-1.435737,-0.812440,-0.702275,1.000
-9.113268,-1.510699,-0.820317,0.544288,1.000
-9.043160,-1.581898,-0.734852,1.169693,1.000
-8.965257,-1.644455,-0.623935,1.055699,1.000
-8.881170,-1.698509,-0.507618,1.280158,1.000
-8.790987,-1.741390,-0.347001,1.957782,1.000
-8.694371,-1.766062,-0.161747,1.778750,1.000
-8.594750,-1.773411,-0.024999,0.975085,1.000
-8.494821,-1.771051,0.074137,1.013523,1.000
-8.395672,-1.758625,0.155242,0.611687,1.000
-8.297399,-1.740154,0.151732,-0.682116,1.000
-8.198164,-1.728424,0.074256,-0.869647,1.000
-8.098232,-1.725338,0.017480,-0.267933,1.000
-7.998233,-1.724929,0.008172,0.081679,1.000
-7.898245,-1.723704,0.041497,0.585575,1.000
-7.798551,-1.716638,0.119008,0.967337,1.000
-7.699985,-1.699997,0.167310,0.001115,1.000
-7.601419,-1.683345,0.120679,-0.935875,1.000
-7.501740,-1.675956,0.058543,-0.308982,1.000
-7.401842,-1.671648,0.082342,0.786414,1.000
-7.302662,-1.659527,0.167962,0.928909,1.000
-7.204970,-1.638266,0.225585,0.226003,1.000
-7.107762,-1.614799,0.229361,-0.150432,1.000
-7.010226,-1.592799,0.183458,-0.769000,1.000
-6.911329,-1.578352,0.121132,-0.478829,1.000
-6.811810,-1.568646,0.133372,0.724302,1.000
-6.713293,-1.551782,0.200455,0.618716,1.000
-6.615960,-1.528853,0.234727,0.067533,1.000
-6.518781,-1.505267,0.229929,-0.163523,1.000
-6.421235,-1.483274,0.216572,-0.103644,1.000
-6.323475,-1.462295,0.245748,0.687961,1.000
-6.227389,-1.434654,0.292901,0.255908,1.000
-6.132030,-1.404560,0.331042,0.507342,1.000
-6.038326,-1.369675,0.360355,0.079210,1.000
-5.944894,-1.334046,0.341926,-0.448056,1.000
-5.849974,-1.302640,0.293633,-0.518353,1.000
-5.753549,-1.276188,0.257621,-0.202295,1.000
-5.656596,-1.251689,0.246317,-0.023834,1.000
-5.559586,-1.227421,0.240512,-0.092273,1.000
-5.462357,-1.204050,0.213775,-0.442850,1.000
-5.364233,-1.185012,0.138896,-1.057888,1.000
-5.264652,-1.176412,0.063707,-0.449053,1.000
